a,b,c,d,target
-0.15,2.13,1.59,0.99,1
-0.11,1.83,1.35,0.9,1
0.31,-0.74,-0.79,0.26,1
0.22,-0.63,-0.63,0.1,1
0.25,0.53,0.15,0.91,1
-0.14,2.08,1.54,1.0,1
0.64,-0.98,-1.24,0.87,1
0.78,-1.1,-1.44,1.1,1
-0.14,1.85,1.39,0.85,1
0.71,-1.01,-1.33,1.01,1
0.05,1.44,0.94,1.02,1
0.77,-0.79,-1.23,1.28,1
-0.34,3.07,2.4,1.15,1
0.4,0.12,-0.28,1.0,1
0.4,-1.05,-1.08,0.27,1
0.26,0.74,0.28,1.06,1
-0.13,-0.68,-0.35,-0.73,0
0.19,-1.84,-1.42,-0.73,0
-0.42,-1.17,-0.43,-1.7,0
-0.19,1.88,1.45,0.74,0
-0.3,-0.02,0.26,-0.7,0
-0.33,0.73,0.8,-0.31,0
-1.34,0.59,1.6,-2.73,0
-0.4,0.01,0.36,-0.91,0
0.02,-1.14,-0.8,-0.67,0
-0.36,1.04,1.03,-0.17,0
0.41,1.52,0.68,1.91,0
-0.51,0.77,0.98,-0.68,0
-0.55,0.47,0.81,-0.97,0
-1.19,0.57,1.45,-2.37,0
-0.48,-0.59,0.02,-1.49,0
-0.18,-1.1,-0.59,-1.1,0
-0.7,0.73,1.13,-1.15,0
-0.14,-0.44,-0.17,-0.6,0
-0.12,-0.88,-0.5,-0.82,0
0.25,-1.97,-1.56,-0.67,0
-0.26,-0.55,-0.14,-0.96,0
-0.45,2.27,1.96,0.39,0
-0.16,1.63,1.26,0.65,0
-0.94,0.01,0.85,-2.17,0
-0.66,-0.32,0.37,-1.74,0
-1.65,0.71,1.96,-3.35,0
-0.3,0.81,0.82,-0.17,0
-0.63,1.16,1.35,-0.72,0
-0.53,0.91,1.09,-0.66,0
-0.75,1.32,1.57,-0.9,0
-0.48,-0.8,-0.12,-1.6,0
-1.2,0.27,1.25,-2.6,0
-1.32,0.99,1.85,-2.41,0
0.15,-1.47,-1.14,-0.57,0
-0.4,0.1,0.43,-0.87,0
-0.41,1.45,1.35,-0.02,0
0.11,1.27,0.77,1.05,0
-0.26,-0.57,-0.15,-0.97,0
0.09,1.0,0.6,0.84,0
-0.95,0.7,1.33,-1.75,0
-1.23,0.7,1.58,-2.4,0
-1.01,0.51,1.25,-2.0,0
0.26,-2.02,-1.61,-0.68,0
-0.51,-0.32,0.24,-1.39,0
0.1,-1.63,-1.2,-0.8,0
-1.14,0.92,1.65,-2.04,0
-0.02,1.43,0.99,0.85,0
-0.93,0.78,1.37,-1.66,0
-0.65,0.74,1.09,-1.04,0
-0.22,0.46,0.5,-0.21,0
-0.67,-0.13,0.51,-1.63,0
-0.23,1.11,0.97,0.18,0
0.71,-2.02,-2.02,0.37,0
0.14,-2.04,-1.52,-0.97,0
0.19,-1.25,-1.03,-0.34,0
-1.0,0.65,1.34,-1.89,0
-0.09,-1.12,-0.69,-0.9,0
-0.82,-0.53,0.36,-2.22,0
-0.36,0.0,0.32,-0.83,0
0.19,-1.96,-1.51,-0.8,0
-0.96,1.05,1.58,-1.56,0
-0.65,-0.0,0.58,-1.51,0
0.0,-1.47,-1.01,-0.92,0
-0.26,-0.73,-0.27,-1.06,0
-0.96,0.33,1.08,-2.0,0
-0.14,-0.89,-0.49,-0.88,0
-0.1,1.33,1.0,0.6,0
0.22,2.66,1.62,2.17,0
-0.46,-0.56,0.03,-1.42,0
0.34,-2.07,-1.72,-0.52,0
-0.36,0.0,0.32,-0.82,0
-1.12,1.46,2.0,-1.66,0
-0.26,0.76,0.75,-0.11,0
0.32,-2.18,-1.78,-0.62,0
-0.85,0.83,1.33,-1.44,0
-2.03,-0.24,1.65,-4.84,0
-1.05,1.29,1.81,-1.6,0
0.61,-1.91,-1.85,0.2,0
-0.62,0.89,1.16,-0.86,0
-0.99,0.24,1.04,-2.12,0
-1.29,0.4,1.42,-2.71,0
-0.16,1.74,1.34,0.73,0
-0.95,1.31,1.74,-1.36,0
-1.23,0.73,1.59,-2.37,0
-0.74,-0.55,0.29,-2.06,0
0.05,-1.09,-0.79,-0.57,0
-0.21,1.14,0.96,0.24,0
-0.89,0.74,1.3,-1.59,0
-0.22,-1.49,-0.83,-1.44,0
-0.76,1.24,1.52,-0.97,0
-0.65,1.28,1.46,-0.7,0
-0.72,0.8,1.19,-1.16,0
-1.5,0.02,1.35,-3.45,0
-1.02,1.19,1.72,-1.61,0
-0.99,0.74,1.39,-1.81,0
-1.29,0.47,1.47,-2.69,0
-0.23,1.02,0.9,0.11,0
-0.89,0.02,0.81,-2.03,0
-1.08,0.3,1.17,-2.31,0
-0.44,1.55,1.45,-0.05,0
-0.45,-0.47,0.07,-1.33,0
0.27,-2.16,-1.72,-0.73,0
0.17,-1.76,-1.36,-0.72,0
0.01,0.86,0.58,0.57,0
-0.2,-1.32,-0.73,-1.29,0
-1.42,1.14,2.04,-2.55,0
-0.94,0.19,0.97,-2.04,0
-0.44,-0.62,-0.03,-1.41,0
-0.29,-0.82,-0.3,-1.18,0
-0.2,1.5,1.2,0.49,0
-0.19,-1.39,-0.78,-1.32,0
-0.23,1.22,1.04,0.25,0
-1.25,0.63,1.55,-2.5,0
-0.99,1.31,1.78,-1.45,0
-0.69,0.26,0.79,-1.42,0
1.03,-2.98,-2.96,0.5,0
-0.59,-0.4,0.26,-1.61,0
0.07,1.14,0.71,0.89,0
-0.52,1.85,1.73,-0.04,0
-1.02,0.99,1.59,-1.73,0
-0.78,0.13,0.79,-1.72,0
-1.09,1.12,1.73,-1.8,0
-0.54,-0.8,-0.06,-1.75,0
-0.02,-1.71,-1.16,-1.12,0
-1.17,0.88,1.64,-2.15,0
0.05,-1.89,-1.33,-1.08,0
-0.5,0.57,0.84,-0.79,0
-0.54,1.14,1.26,-0.53,0
-0.95,0.03,0.87,-2.19,0
-0.18,1.39,1.11,0.47,0
0.13,-1.95,-1.44,-0.93,0
-1.21,1.49,2.1,-1.86,0
-1.46,0.32,1.52,-3.17,0
-0.17,-0.57,-0.23,-0.75,0
-1.23,0.31,1.31,-2.63,0
-1.83,0.56,2.01,-3.87,0
-0.94,0.26,1.02,-2.0,0
-0.57,1.14,1.28,-0.59,0
0.28,-1.74,-1.44,-0.44,0
-0.83,0.85,1.32,-1.39,0
-0.55,1.09,1.24,-0.58,0
-0.39,-0.01,0.34,-0.89,0
-0.23,1.34,1.12,0.33,0
-1.15,0.78,1.56,-2.16,0
-0.67,0.3,0.81,-1.36,0
-1.09,0.73,1.47,-2.05,0
-0.25,1.54,1.27,0.41,0
-0.84,-0.22,0.59,-2.07,0
0.18,1.37,0.78,1.27,0
-0.35,1.28,1.19,0.0,0
