a,b,c,d,target
-0.48,0.42,0.68,1.12,1
0.77,0.1,0.92,0.05,0
0.3,0.59,1.78,1.33,1
-0.8,-0.31,-1.47,-0.53,0
-2.32,-0.42,-3.03,-0.39,1
1.34,-0.49,-0.11,-1.5,0
0.13,0.16,0.51,0.33,1
2.19,-0.18,1.39,-0.99,0
-1.14,0.6,0.56,1.7,1
3.54,-0.45,1.85,-1.96,0
-2.1,-0.47,-2.99,-0.58,1
1.69,0.24,2.05,0.13,0
-0.32,0.5,1.01,1.26,1
1.64,0.02,1.43,-0.38,0
-1.81,0.39,-0.53,1.39,1
0.57,-0.17,0.04,-0.56,0
-1.86,0.6,-0.03,1.9,1
-0.31,-0.29,-1.01,-0.61,0
-1.88,0.42,-0.51,1.48,1
0.39,-0.45,-0.82,-1.16,0
-1.85,0.44,-0.45,1.5,1
-0.26,-0.46,-1.4,-1.02,0
-2.18,-0.09,-2.06,0.35,1
0.83,-0.36,-0.22,-1.06,0
-1.54,1.06,1.42,2.91,1
1.39,-0.54,-0.22,-1.65,0
-2.12,-0.24,-2.4,-0.02,1
0.37,0.08,0.52,0.1,0
-1.63,0.4,-0.36,1.36,1
0.46,-0.29,-0.37,-0.81,0
0.95,-0.41,-0.24,-1.2,1
-0.27,-0.35,-1.12,-0.76,0
2.92,0.15,2.85,-0.4,1
0.98,-0.43,-0.26,-1.26,0
-1.88,0.15,-1.21,0.83,1
0.63,-0.48,-0.7,-1.29,0
-1.68,0.07,-1.23,0.61,1
1.12,-0.42,-0.14,-1.29,0
-2.43,0.81,0.02,2.54,1
1.31,0.28,1.83,0.33,0
-1.94,0.6,-0.09,1.93,1
1.36,-0.07,0.97,-0.52,0
-1.77,0.46,-0.31,1.55,1
2.63,-0.3,1.46,-1.38,0
-1.44,0.33,-0.37,1.15,1
2.03,-0.36,0.8,-1.37,0
1.89,0.25,2.24,0.11,1
-0.77,-0.61,-2.2,-1.24,0
1.25,0.48,2.29,0.81,1
2.05,-0.26,1.08,-1.13,0
1.73,0.41,2.52,0.53,1
1.36,-0.25,0.52,-0.93,0
-0.74,0.82,1.48,2.13,1
1.12,-0.14,0.58,-0.63,0
2.84,0.1,2.65,-0.5,1
-0.0,-0.15,-0.4,-0.36,0
-1.96,0.18,-1.2,0.93,1
0.45,-0.42,-0.71,-1.12,0
1.42,0.35,2.11,0.47,1
-0.34,-0.52,-1.61,-1.14,0
-0.47,0.3,0.37,0.83,1
2.36,-0.76,0.04,-2.41,0
-1.92,0.73,0.24,2.21,1
0.53,-0.52,-0.88,-1.36,0
-2.21,-0.33,-2.7,-0.2,1
-1.23,-0.05,-1.17,0.2,0
0.98,0.23,1.41,0.28,1
3.2,-0.68,0.96,-2.43,0
-1.99,0.12,-1.37,0.8,1
-0.66,-0.4,-1.58,-0.77,0
1.11,-0.0,0.93,-0.29,1
1.52,-0.51,-0.03,-1.6,0
-3.63,0.75,-1.15,2.71,1
0.71,0.23,1.21,0.37,0
-2.07,0.34,-0.88,1.34,1
0.34,-0.3,-0.49,-0.81,0
-1.99,0.22,-1.12,1.04,1
3.54,-0.42,1.92,-1.9,0
-1.82,0.0,-1.53,0.48,1
3.93,-0.77,1.35,-2.84,0
-1.57,0.44,-0.2,1.45,1
2.74,-0.24,1.69,-1.28,0
-1.61,0.48,-0.13,1.55,1
0.86,-0.27,0.04,-0.85,0
-1.64,0.64,0.26,1.94,1
1.6,-0.12,1.05,-0.69,0
-0.47,0.48,0.83,1.25,1
0.4,0.15,0.72,0.25,0
-0.99,0.37,0.12,1.13,1
0.53,-0.4,-0.57,-1.07,0
-1.85,0.25,-0.91,1.08,1
1.34,-0.42,0.07,-1.33,0
0.32,0.21,0.82,0.42,1
-0.34,-0.2,-0.79,-0.38,0
-2.12,-0.13,-2.14,0.23,1
-0.65,-0.45,-1.7,-0.89,0
-0.43,0.53,1.0,1.36,1
1.94,-0.26,0.98,-1.12,0
-1.7,0.25,-0.8,1.03,1
2.15,-0.63,0.21,-2.03,0
-0.72,0.81,1.47,2.11,1
-0.31,-0.35,-1.17,-0.76,0
-0.52,0.59,1.07,1.54,1
-0.66,-0.36,-1.47,-0.68,0
-0.29,0.7,1.55,1.74,1
0.27,-0.31,-0.56,-0.8,0
-2.0,-0.15,-2.07,0.17,1
-0.11,0.41,0.97,1.01,0
-1.98,0.55,-0.26,1.81,1
2.28,0.0,1.93,-0.58,0
-1.95,0.54,-0.26,1.79,1
-0.9,0.58,0.73,1.61,0
-2.21,-0.26,-2.53,-0.05,1
2.65,-0.19,1.76,-1.13,0
-1.63,0.61,0.19,1.86,1
-0.23,-0.63,-1.82,-1.43,0
-2.02,0.05,-1.58,0.64,1
2.1,-0.17,1.34,-0.94,0
2.12,0.37,2.74,0.33,1
2.37,-0.51,0.7,-1.81,0
-2.11,0.75,0.15,2.33,1
0.69,-0.26,-0.08,-0.79,0
-1.74,0.27,-0.78,1.09,1
0.42,-0.42,-0.72,-1.1,0
-1.93,0.12,-1.33,0.77,1
-0.68,-0.18,-1.04,-0.26,0
2.26,0.14,2.28,-0.24,1
0.53,-0.49,-0.82,-1.3,0
-2.23,0.1,-1.63,0.81,1
0.12,-0.42,-0.99,-1.03,0
-1.73,0.36,-0.53,1.3,1
2.56,-0.05,2.04,-0.77,0
-1.63,0.61,0.19,1.87,1
0.65,-0.38,-0.43,-1.07,0
-3.93,0.71,-1.5,2.69,1
-0.13,0.11,0.17,0.29,0
-1.66,0.58,0.09,1.8,1
-0.13,-0.57,-1.56,-1.31,0
-1.97,0.33,-0.83,1.28,1
1.35,-0.77,-0.82,-2.16,0
-1.87,0.52,-0.24,1.72,1
2.89,-0.08,2.24,-0.93,0
-2.24,0.03,-1.81,0.65,1
2.48,-0.7,0.3,-2.3,0
-0.2,0.67,1.54,1.63,1
0.84,0.14,1.07,0.12,0
-1.62,0.39,-0.39,1.33,1
-0.16,0.08,0.08,0.24,0
-4.32,0.89,-1.39,3.21,1
1.25,0.02,1.1,-0.27,0
-1.66,0.42,-0.32,1.43,1
-0.3,-0.35,-1.16,-0.75,0
-0.75,0.21,-0.09,0.69,1
3.57,-0.71,1.19,-2.61,0
-2.08,-0.2,-2.28,0.05,1
1.99,-0.11,1.4,-0.77,0
-1.92,-0.03,-1.71,0.42,1
2.05,-0.36,0.82,-1.38,0
3.19,-0.06,2.56,-0.95,1
3.08,0.11,2.89,-0.53,0
2.46,0.15,2.47,-0.27,1
-0.29,-0.24,-0.86,-0.49,0
0.22,0.18,0.64,0.36,1
2.47,0.02,2.14,-0.58,0
-1.97,0.22,-1.09,1.03,1
-0.65,-0.49,-1.81,-1.0,0
-2.0,0.06,-1.53,0.66,1
0.79,-0.57,-0.8,-1.56,0
-3.28,0.78,-0.77,2.7,1
1.46,0.19,1.71,0.07,0
3.82,-0.05,3.11,-1.09,1
2.18,-0.17,1.4,-0.97,0
0.45,0.04,0.48,-0.02,1
-0.18,-0.22,-0.71,-0.47,0
-1.95,0.15,-1.27,0.85,1
1.98,-0.31,0.87,-1.25,0
-1.99,0.37,-0.72,1.39,1
2.79,-0.54,0.98,-1.99,0
0.65,0.45,1.7,0.9,1
0.14,-0.34,-0.75,-0.84,0
1.67,0.3,2.2,0.29,1
1.47,-0.02,1.2,-0.42,0
-2.06,-0.35,-2.63,-0.29,1
1.19,-0.16,0.6,-0.69,0
-0.7,0.34,0.29,1.0,1
0.16,-0.42,-0.93,-1.02,0
-0.6,0.58,0.97,1.52,1
-1.0,-0.38,-1.82,-0.65,0
-2.5,0.59,-0.61,2.03,1
0.3,-0.56,-1.19,-1.41,0
-1.94,0.32,-0.82,1.26,1
-0.68,-0.43,-1.68,-0.85,0
-1.6,0.57,0.12,1.77,1
-0.65,0.57,0.92,1.52,0
3.27,0.25,3.4,-0.25,1
2.4,-0.69,0.27,-2.24,0
-1.81,-0.16,-1.94,0.08,1
1.14,-0.41,-0.1,-1.27,0
-0.14,0.32,0.7,0.79,1
-0.44,-0.47,-1.57,-0.99,0
-1.81,0.03,-1.44,0.54,1
1.37,-0.15,0.77,-0.71,0
-0.57,0.72,1.36,1.84,1
3.85,-0.74,1.36,-2.74,0
-1.95,0.42,-0.56,1.5,1
1.0,0.03,0.92,-0.19,0
-1.68,0.23,-0.84,0.97,1
0.66,0.77,2.52,1.65,0
-1.65,0.58,0.1,1.8,1
-0.24,-0.56,-1.63,-1.25,0
-1.9,0.19,-1.13,0.93,1
0.61,-0.47,-0.7,-1.28,0
0.88,0.07,0.92,-0.06,1
3.3,-0.08,2.58,-1.04,0
-1.92,0.25,-0.99,1.09,1
1.33,0.42,2.2,0.65,0
0.11,0.42,1.16,0.96,1
2.79,-0.55,0.95,-2.01,0
-1.65,0.69,0.39,2.07,1
1.06,0.32,1.71,0.48,0
-1.37,0.38,-0.2,1.24,1
0.96,-0.25,0.16,-0.84,0
-2.17,0.1,-1.59,0.79,1
0.46,-0.61,-1.17,-1.55,0
-1.64,0.45,-0.22,1.49,1
2.8,-0.66,0.67,-2.29,0
-1.84,0.33,-0.71,1.25,1
1.55,-0.74,-0.59,-2.16,0
-1.68,0.43,-0.33,1.45,1
0.58,-0.38,-0.48,-1.04,0
1.2,0.05,1.14,-0.2,1
0.22,0.01,0.22,-0.02,0
0.19,0.49,1.42,1.12,1
1.26,-0.47,-0.13,-1.43,0
-1.12,0.51,0.35,1.49,1
1.88,0.09,1.82,-0.27,0
0.81,0.13,1.02,0.11,1
2.66,-0.31,1.45,-1.43,0
