A,B,C,D,E,F,G,H,I,J,K,L,M
1.48,-0.3,-0.55,-1.9,1.32,-3.07,0.31,-1.15,-0.82,0.2,-1.42,-0.58,0
1.44,-0.79,0.82,-1.35,-0.67,-0.94,1.16,-0.34,0.56,-0.36,-0.72,-0.48,0
-0.1,-0.74,0.4,-0.66,-0.73,1.05,0.34,-0.03,0.54,-0.15,0.36,-0.27,1
-1.85,0.96,1.32,0.39,-1.39,0.2,-1.91,-0.36,-0.44,-1.12,0.61,-1.72,0
1.0,-0.89,-1.33,-0.94,0.68,0.6,1.33,-0.24,1.08,-0.83,-0.1,-0.2,0
-1.61,0.41,0.33,-0.79,0.22,-0.68,-2.02,-0.01,0.99,0.82,0.26,0.61,0
-0.61,-0.57,-0.38,1.12,0.14,0.97,-0.26,-1.72,0.35,0.78,0.49,0.95,1
-1.93,1.18,-1.19,3.01,-0.3,-0.19,-2.16,1.71,1.0,1.05,0.51,1.31,0
0.65,-0.25,-0.9,0.96,-0.83,1.24,1.22,-1.04,0.66,1.04,0.2,1.2,1
0.16,-1.77,-0.15,-0.92,1.21,0.91,0.55,-0.66,0.06,-0.29,0.24,-0.02,1
-1.35,-1.25,-2.21,1.15,2.5,-0.53,-1.68,0.07,-1.63,-0.85,0.23,-2.36,0
-2.26,-0.39,0.16,-0.33,1.61,-0.57,-2.68,0.48,-1.18,-0.48,0.49,-0.77,0
1.59,-0.65,-1.95,-0.48,-1.83,0.99,2.13,1.19,1.85,0.11,-0.15,-0.21,1
-1.12,-1.03,0.65,-0.4,-1.0,0.55,-0.98,0.19,-2.36,-0.21,0.51,0.84,1
0.25,0.5,0.3,-0.86,0.06,-1.5,-0.36,-0.97,-0.27,2.3,-0.55,0.23,0
2.1,-0.68,0.11,-0.25,0.85,-1.86,1.49,-0.43,-1.13,-0.76,-1.21,0.07,0
0.2,0.31,0.09,0.44,1.26,-1.56,-0.43,0.07,1.34,0.65,-0.56,1.51,0
-2.24,-0.54,0.2,-0.37,0.12,1.72,-1.7,0.73,-0.94,0.67,1.21,-0.63,1
-1.7,1.06,1.43,0.58,1.06,-0.42,-2.01,0.58,-1.16,1.41,0.37,0.53,0
-1.21,1.17,0.86,-0.34,-0.67,1.06,-0.87,-0.54,-0.1,1.62,0.7,0.55,1
1.6,0.75,-0.52,-3.07,0.38,-2.73,0.59,-1.25,0.09,-0.07,-1.34,-1.57,0
-0.5,0.51,1.11,0.87,-1.08,-0.82,-0.88,0.05,-1.1,-1.12,-0.12,-0.55,0
-1.1,-0.59,-1.14,0.82,-0.21,0.57,-0.94,1.25,-0.01,-0.57,0.5,-0.64,1
0.01,0.8,1.44,-1.02,2.89,0.73,0.32,0.68,-0.23,-0.03,0.23,0.27,1
-0.77,0.03,1.12,-0.04,1.67,-0.76,-1.15,0.37,1.56,-0.64,-0.02,0.7,0
1.66,-1.04,-0.0,0.21,1.2,-2.61,0.7,-1.48,0.19,1.51,-1.32,0.22,0
1.38,0.14,0.55,0.34,-0.48,0.87,1.85,1.63,0.1,0.09,-0.13,1.73,1
-2.05,-1.74,1.27,-1.38,-0.49,0.09,-2.17,-0.87,0.4,0.17,0.63,-1.28,0
1.07,0.1,-0.63,-0.7,1.32,-1.02,0.73,0.44,1.57,-1.11,-0.64,-0.38,0
1.14,-0.71,1.66,0.56,0.42,0.98,1.63,1.05,0.18,1.28,-0.02,0.28,1
2.01,1.52,-0.19,1.39,-1.25,-3.87,0.56,1.0,0.14,0.04,-1.83,0.54,0
-0.13,-0.44,0.72,0.54,0.81,1.13,0.33,0.04,0.06,0.91,0.4,-1.53,1
1.55,-0.69,-0.41,-0.04,0.42,-1.55,1.03,-1.09,2.68,1.19,-0.95,-0.89,0
-0.62,1.04,0.79,1.02,0.56,0.3,-0.54,2.36,-0.09,-0.91,0.28,-1.4,1
0.9,1.11,-1.26,-0.86,1.05,0.11,1.02,-0.78,0.33,0.11,-0.23,1.54,0
1.84,-0.12,1.61,-0.12,-0.76,-3.52,0.52,-0.21,0.22,0.96,-1.67,-1.12,0
1.54,0.94,0.44,-0.99,-0.94,0.74,1.97,-1.3,-0.41,1.48,-0.22,-0.03,1
1.36,0.47,1.01,0.32,0.81,1.02,1.89,-1.26,-0.64,-0.3,-0.08,-0.8,1
0.02,-0.97,1.08,-0.21,0.57,-1.49,-0.59,2.22,0.7,0.03,-0.48,0.51,0
-0.71,-0.52,0.66,1.11,1.16,-1.18,-1.25,-0.98,0.24,1.0,-0.17,0.78,0
-1.39,0.35,-0.71,2.08,0.27,1.11,-1.03,0.4,-1.04,-2.22,0.77,0.91,1
-1.35,-1.47,-0.58,-1.23,0.71,1.4,-0.87,0.9,0.66,0.88,0.85,0.51,1
1.4,-0.43,0.98,2.06,-0.32,1.09,1.97,1.68,-0.9,-1.27,-0.06,0.35,1
-1.67,-0.16,0.44,1.31,-1.48,1.24,-1.29,0.96,-0.23,-0.39,0.89,-1.2,1
-1.69,0.48,1.95,-0.32,0.56,1.8,-1.07,-0.92,1.23,-0.67,1.07,0.1,1
