A,B,C,D,E
-0.78,0.81,1.25,-1.28,0
-0.77,0.18,0.8,-1.66,0
-0.51,-0.32,0.24,-1.39,0
-0.72,0.3,0.85,-1.47,0
1.18,-1.24,-1.9,1.95,1
0.23,0.96,0.45,1.13,1
0.13,1.67,1.03,1.35,1
0.51,-0.98,-1.12,0.55,1
0.31,-0.92,-0.9,0.13,1
0.57,-0.75,-1.02,0.85,1
-0.3,-0.02,0.26,-0.7,0
-0.84,0.14,0.84,-1.84,0
0.22,2.66,1.62,2.17,0
-0.45,-0.47,0.07,-1.33,0
1.02,-1.49,-1.93,1.41,1
-0.06,-0.99,-0.62,-0.76,0
0.58,-1.19,-1.33,0.59,1
0.64,-0.75,-1.08,0.99,1
0.28,0.22,-0.1,0.79,1
0.01,1.18,0.79,0.77,1
-1.29,0.47,1.47,-2.69,0
-0.52,-0.3,0.26,-1.38,0
0.5,0.63,-0.01,1.55,1
0.61,-0.94,-1.19,0.82,1
-0.74,-0.55,0.28,-2.05,0
0.05,-1.89,-1.33,-1.08,0
-0.52,1.85,1.73,-0.04,0
-1.29,0.4,1.42,-2.71,0
0.66,-2.23,-2.11,0.1,0
-0.41,1.45,1.35,-0.02,0
0.92,-1.09,-1.57,1.44,1
-0.79,0.21,0.85,-1.7,0
-0.74,-0.55,0.29,-2.06,0
-0.94,0.19,0.97,-2.04,0
0.42,-0.25,-0.55,0.82,1
-0.82,-0.35,0.49,-2.11,0
0.09,-2.1,-1.52,-1.12,0
0.05,1.94,1.28,1.34,1
-1.02,1.17,1.71,-1.62,0
-0.27,-0.99,-0.44,-1.25,0
-0.19,-1.39,-0.78,-1.32,0
0.72,-0.97,-1.31,1.06,1
0.53,-0.53,-0.84,0.9,1
0.14,1.0,0.56,0.95,1
0.86,-1.16,-1.56,1.25,1
0.81,-1.1,-1.48,1.18,1
-0.38,2.73,2.2,0.85,1
-0.97,0.71,1.35,-1.79,0
0.73,-1.3,-1.54,0.86,1
0.44,-0.38,-0.65,0.78,1
0.01,-0.65,-0.45,-0.4,1
0.41,0.27,-0.18,1.12,1
-0.05,0.38,0.3,0.13,0
-1.19,0.79,1.6,-2.24,0
-0.84,0.29,0.95,-1.76,0
0.67,-1.11,-1.35,0.84,1
0.17,1.03,0.55,1.04,1
1.03,-2.98,-2.96,0.5,0
-0.67,-1.07,-0.13,-2.22,0
-0.72,1.16,1.44,-0.94,0
0.24,0.42,0.07,0.82,1
0.68,-1.14,-1.39,0.85,1
0.01,1.17,0.79,0.77,0
0.09,1.43,0.89,1.12,1
0.77,-1.06,-1.41,1.1,1
0.67,-0.74,-1.1,1.07,1
0.34,0.03,-0.28,0.8,1
0.76,-1.2,-1.5,1.0,1
0.18,1.0,0.52,1.06,1
-1.21,0.59,1.48,-2.43,0
0.26,-2.02,-1.61,-0.68,0
-0.51,0.77,0.98,-0.68,0
-0.55,1.09,1.24,-0.58,0
0.17,-1.23,-0.99,-0.38,0
-0.28,2.34,1.85,0.83,1
0.61,-1.02,-1.24,0.77,1
-0.27,1.51,1.28,0.32,0
-0.32,2.0,1.65,0.53,0
0.2,0.73,0.32,0.93,1
-1.32,0.68,1.64,-2.61,0
-0.47,0.18,0.54,-0.97,0
-0.11,1.94,1.43,0.97,1
-0.67,-0.13,0.51,-1.63,0
-0.75,0.46,0.98,-1.43,0
-1.0,0.49,1.22,-1.99,0
-1.07,0.07,1.0,-2.42,0
0.54,-1.01,-1.17,0.61,1
0.77,-1.03,-1.39,1.11,1
0.64,-0.98,-1.24,0.87,1
0.05,-1.09,-0.79,-0.57,0
0.37,-2.01,-1.7,-0.42,0
-0.32,-0.61,-0.13,-1.11,0
0.36,-0.9,-0.94,0.28,1
-0.28,-1.12,-0.52,-1.35,0
-1.03,0.16,1.03,-2.28,0
0.51,0.37,-0.2,1.41,1
0.48,-0.78,-0.96,0.61,1
-0.02,1.81,1.26,1.1,1
0.84,-0.88,-1.34,1.38,1
-1.07,0.37,1.21,-2.23,0
-0.99,1.31,1.78,-1.45,0
0.81,-1.17,-1.52,1.12,1
0.01,1.54,1.04,1.0,0
-0.46,-0.25,0.24,-1.22,0
-0.06,-1.26,-0.8,-0.94,0
0.27,-1.19,-1.05,-0.14,0
0.15,-1.47,-1.14,-0.57,0
-0.12,-0.88,-0.5,-0.82,0
-0.99,0.24,1.04,-2.12,0
-0.62,0.89,1.16,-0.86,0
0.2,-1.68,-1.33,-0.61,0
-1.33,0.63,1.61,-2.67,0
-0.84,-0.22,0.59,-2.07,0
0.61,-1.14,-1.32,0.68,1
-1.05,1.29,1.81,-1.6,0
0.69,-0.87,-1.21,1.05,1
0.55,-0.79,-1.03,0.77,1
-0.72,1.01,1.33,-1.02,0
0.79,-1.05,-1.42,1.15,1
-1.43,1.26,2.13,-2.5,0
-0.6,-0.02,0.52,-1.39,0
0.94,-1.0,-1.52,1.55,1
-0.63,1.16,1.35,-0.72,0
-0.31,1.8,1.5,0.43,0
-0.03,1.83,1.28,1.07,1
0.89,-1.29,-1.67,1.24,1
0.2,0.61,0.24,0.84,1
0.23,0.8,0.34,1.03,1
0.4,0.01,-0.35,0.93,1
-0.09,1.73,1.26,0.89,1
0.43,0.4,-0.11,1.23,1
-0.48,2.94,2.43,0.76,1
-0.21,2.36,1.8,1.0,1
0.02,1.5,1.01,1.0,1
-0.19,1.88,1.45,0.74,0
-0.8,0.63,1.14,-1.44,0
0.97,-1.13,-1.64,1.52,1
0.07,1.69,1.09,1.22,1
-0.95,1.03,1.55,-1.55,0
0.54,-0.72,-0.98,0.79,1
0.12,1.17,0.69,1.02,1
0.18,1.42,0.82,1.31,1
-1.65,0.71,1.96,-3.35,0
0.4,0.12,-0.28,1.0,1
0.61,-0.9,-1.15,0.83,1
-0.49,1.68,1.59,-0.07,0
-0.04,1.86,1.31,1.07,1
-0.54,-0.8,-0.06,-1.75,0
-0.14,2.08,1.54,1.0,1
-0.28,2.78,2.15,1.11,1
1.07,-1.07,-1.69,1.8,1
-0.09,1.93,1.4,1.0,1
0.13,1.03,0.59,0.96,1
-0.72,0.72,1.13,-1.21,0
-0.18,1.39,1.11,0.47,0
-0.62,1.38,1.49,-0.55,0
-0.18,-1.1,-0.59,-1.1,0
-0.6,1.71,1.7,-0.3,0
0.52,-1.22,-1.3,0.43,1
-0.21,-0.58,-0.21,-0.84,0
0.05,1.46,0.95,1.04,1
0.77,-1.16,-1.48,1.05,1
0.79,-1.09,-1.45,1.14,1
-0.22,2.46,1.87,1.05,1
0.49,1.77,0.77,2.26,0
0.39,0.66,0.1,1.3,1
0.61,-1.12,-1.31,0.7,1
0.66,-0.86,-1.17,0.98,1
-0.74,-0.21,0.51,-1.85,0
-1.35,0.31,1.42,-2.93,0
-0.29,-0.82,-0.3,-1.18,0
-0.53,-0.19,0.34,-1.34,0
